"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"TEX30"	0	0.433250267454837	0.32	0.035	0	"Cycling B"	"TEX30"
"NCAPD3"	0	0.430141689838271	0.314	0.038	0	"Cycling B"	"NCAPD3"
"SAC3D1"	0	0.428735148370901	0.294	0.031	0	"Cycling B"	"SAC3D1"
"PFN1"	0	0.426634689641384	0.999	0.987	0	"Cycling B"	"PFN1"
"POC1A"	0	0.425487492032833	0.285	0.013	0	"Cycling B"	"POC1A"
"CCNF"	0	0.423148714101105	0.246	0.007	0	"Cycling B"	"CCNF"
"ACAT2"	0	0.422745463098431	0.356	0.067	0	"Cycling B"	"ACAT2"
"DSN1"	0	0.419680341144149	0.298	0.035	0	"Cycling B"	"DSN1"
"E2F8"	0	0.419210512690652	0.238	0.005	0	"Cycling B"	"E2F8"
"MIS18A"	0	0.419028314867777	0.327	0.042	0	"Cycling B"	"MIS18A"
"ARHGEF39"	0	0.418522748128238	0.229	0.009	0	"Cycling B"	"ARHGEF39"
"DTL"	0	0.417534917872667	0.223	0.004	0	"Cycling B"	"DTL"
"KIF4A"	0	0.415949600169935	0.249	0.01	0	"Cycling B"	"KIF4A"
"NCAPH2"	0	0.415611085114743	0.326	0.053	0	"Cycling B"	"NCAPH2"
"ASRGL1"	0	0.4146606175609	0.281	0.022	0	"Cycling B"	"ASRGL1"
"DSCC1"	0	0.413668397195499	0.254	0.007	0	"Cycling B"	"DSCC1"
"SPC24"	0	0.405498869052956	0.257	0.007	0	"Cycling B"	"SPC24"
"ACOT7"	0	0.404096311132446	0.286	0.028	0	"Cycling B"	"ACOT7"
"HIRIP3"	0	0.402782796923585	0.302	0.042	0	"Cycling B"	"HIRIP3"
"CEP55"	0	0.402767299454825	0.246	0.007	0	"Cycling B"	"CEP55"
"DDX11"	0	0.401284876252981	0.329	0.057	0	"Cycling B"	"DDX11"
"POLQ"	0	0.394394575095731	0.232	0.008	0	"Cycling B"	"POLQ"
"POLD3"	0	0.38897173823949	0.268	0.022	0	"Cycling B"	"POLD3"
"CIP2A"	0	0.382872497091842	0.264	0.023	0	"Cycling B"	"CIP2A"
"GGH"	0	0.377604766857793	0.254	0.013	0	"Cycling B"	"GGH"
"KIF15"	0	0.359564891940986	0.222	0.008	0	"Cycling B"	"KIF15"
