"Cycling B"	"LZ GC"	"DZ GC"	"GC"	"prePB"	"FCRL2/3high GC"
"Z98884.1"	0.00591615977216529	0.00628641619100066	0.0147631350603581	0.00981879311211946	0.0122258655301502	0
"UTS2"	0.00441597692346492	0.00345160499012085	0.00572956352829935	0.00295485592573529	0.0133057814951174	0
"TNFRSF9"	0.00232615520296827	0.00571686647114983	0	0.0010130286629369	0.0171617252339143	0
"PARK7"	4.00273420343762	4.25594769660715	3.13627069670629	2.73235347685694	3.27664192507271	2.66281850281529
"AL034417.4"	0.001636927513991	0.0032441066145747	0.00166103465184049	0.00286676258819494	0	0
"AL034417.3"	0.00107469979350998	0	0	0.000759132496784505	0	0
"ERRFI1"	0.00519549674171412	0.00680567707917469	0.000736227719356472	0.00374825733137221	0.00358273722557128	0
"SLC45A1"	0.00167196535699415	0	0	0.00297261632879678	0	0
"RERE"	0.379306309237432	0.366143905201085	0.605064403349128	0.500254000041329	0.599962094930791	0.583487579314405
"AL096855.1"	0.000964752303043815	0	0.00200218430780045	0.00420176982431026	0	0
"AL357552.2"	6.03259180111655e-05	0.00108832556432129	0.00150022991023374	0.000924488090143506	0	0
"ENO1"	5.25690980681855	6.02223464971685	2.42174330795745	2.79549078378352	4.56027974399033	2.72564355730799
"ENO1-AS1"	0.0185669318284132	0.0198972051874679	0.0373383556207566	0.0157331047281709	0.00772215679839379	0
"SLC2A5"	0.410677945345841	0.214731764855456	1.46911245889558	0.578523961404172	0.337889744748498	0.661396977617461
"GPR157"	0.0110407633451514	0.0163591312233687	0.0164812876655483	0.0252249528548302	0.0185775167341156	0.0427458658118596
"MIR34AHG"	0.000596700778310616	0	0.000867414406799141	0.00261357603809448	0	0
"LINC01759"	0.000301746839723958	0	0	0	0	0
"H6PD"	0.0429833142466848	0.0577035772135326	0.0750149836113572	0.0667509957357272	0.0628830231733254	0.125528967195072
"SPSB1"	0.0684963420128497	0.0451920729850004	0.0648318565264474	0.0670013390811314	0.0752046690719531	0.0653477563923929
"BX323043.1"	0.0011302349550791	0	0.00228724202484443	0	0	0
"AL928921.2"	0.00962895834802274	0.00241848379446564	0.0205105018972934	0.00774066535789875	0.0278013524713616	0
"SLC25A33"	0.242733507002774	0.291850792374182	0.260398425667957	0.213133090793638	0.184189144582692	0.164535668857718
"TMEM201"	0.0840406674273314	0.0875456100822726	0.0238633221848765	0.0355807448829765	0	0.0122991989152463
"PIK3CD"	0.477075288062507	0.781737634624863	0.304361455096486	0.611086092501846	0.37334107527044	0.506918709690941
"PIK3CD-AS1"	0.0215087168161059	0.0142210429125987	0.0220746208172136	0.0221243556740103	0	0
"PIK3CD-AS2"	0.21004905259	0.186229763641065	0.455014190741869	0.345060009784516	0.765672897864905	0.776050951881512
"CLSTN1"	0.374640935053897	0.243315373259218	0.454955014767329	0.36228803051849	0.479191744845877	0.519406199523952
"CTNNBIP1"	0.181695194206747	0.066180054349069	0.130688868334431	0.108548249600787	0.157629587472708	0.0896425200329631
"LZIC"	0.341044711292201	0.230357342157634	0.354835692255666	0.283869330697078	0.144966110020163	0.168379980518419
